Word/Phrase,Definition,Example Sentence,Popularity/Trend Level
"Bop","A song that's really good.","That new track is a bop.","Medium"
"Bounce","To leave or exit.","I'm bouncing, see you later.","Medium"
"Cancelled","Publicly denounced and rejected.","She got cancelled after that post.","High"
"Chill","Relaxed or easy-going.","I'm just chilling today.","High"
"Cringe","Embarrassing or awkward.","That video was cringe.","High"
"DM","Direct Message on social media.","I'll DM you the details.","High"
"Dope","Cool or excellent.","That jacket is dope.","High"
"Flex","To show off or boast.","He's flexing his new phone.","High"
"GOAT","Greatest Of All Time.","Jordan is the GOAT.","High"
"High-Key","Emphatically or openly.","I'm high-key excited for this.","High"
"Hype","Intense excitement.","The hype is real.","High"
"Karen","Entitled or demanding woman.","Don't be such a Karen.","High"
"L","Loss or failure.","We took the L on that one.","High"
"Noob","Newbie or beginner.","He's such a noob at this game.","Medium"
"Oof","An expression of sympathy.","Oof, that must have hurt.","High"
"Periodt","Used to emphasize the end of a statement.","And that's the truth, periodt.","High"
"Receipts","Proof or evidence.","Show me the receipts for your claims.","High"
"Shade","Subtle insult.","She's throwing shade at her ex.","High"
"Simp","Someone who does too much for someone they like.","He's such a simp for her.","High"
"Slaps","Really good.","This beat slaps.","High"
"Spill","Reveal the truth.","Spill the tea, what happened?","High"
"Stan","Obsessive fan.","I'm a stan for that band.","High"
"Sus","Suspicious or questionable.","That sounds sus to me.","High"
"Thirsty","Desperate for attention or affection.","He's so thirsty for likes.","High"
"Vibes","Good energy.","I'm loving the vibes here.","High"
"Wig","A reaction to something surprising or shocking.","My wig was snatched by that performance.","Medium"
"Yeet","To throw something with force; also used for excitement.","He yeeted the ball across the field.","High"
"Zoomer","A member of Generation Z.","As a Zoomer, she knows all the trends.","Medium"
"Boujee","Luxurious or fancy.","She's living the boujee life.","High"
"Clout","Influence or power.","He's just doing it for the clout.","High"
"Deadass","Seriously; genuinely.","I'm deadass not joking.","High"
"Drip","Stylish or fashionable, especially in clothing.","Check out my drip today.","High"
"Extra","Over the top, excessive.","She's so extra with her outfits.","Medium"
"Finesse","To handle something skillfully.","He finessed his way into the club.","Medium"
"Ghosting","Suddenly cutting off all communication with someone.","He ghosted me after our date.","High"
"Hits Different","Something that resonates on a deep level.","That song hits different.","High"
"JOMO","Joy Of Missing Out.","I'm all about JOMO these days.","Medium"
"Living Rent-Free","Taking up a lot of mental space.","She's living rent-free in my mind.","High"
"Main Character","Acting like the main character in life.","She's totally giving main character vibes.","Medium"
"Normalize","Make something the norm.","We need to normalize self-care.","High"
"Pressed","Angry or annoyed.","He's so pressed about the situation.","Medium"
"Resonate","Something that deeply connects or makes sense.","That quote really resonates with me.","Medium"
"Understood the Assignment","Someone who exceeded expectations.","She understood the assignment with her outfit.","Medium"
"What's Poppin","What's happening or what's going on.","Yo, what's poppin?","Medium"
"Slay","To do something extremely well.","She absolutely slayed that performance.","High"
"No Cap","No lie, for real.","That's wild, no cap.","High"
"It Ain't That Deep","Stop overthinking it.","It ain't that deep, just have fun.","Medium"
"Rizz","Charisma; the ability to attract others.","He's got some serious rizz.","High"
